账户类型,账户,涉案原因,涉案金额
微信,wanghui2568617000?,两头骗人，说上手有雌,
微信,wyn6688,骗财骗色,5000以上
微信,xyabby13920,付款失联,5000
微信,ao095822,假药商，同1575186204,
微信,xy958160A,骗子药商：付款失联,400+
微信,wxid_2t8a7fovz5ug22,卖惨求同情要钱,2500+
微信,ZMacan,付款失联,192
QQ,1253621766,骗子,
QQ,1316867106,假药商,
QQ,1357817699/2995379387,假药商,
QQ,1438613145,假药商,
QQ,1793973622,假药商,
QQ,2093708294,假药商,
QQ,2222122501,假药商,
QQ,2311861262,假药商,
QQ,2330373751,假药商,
QQ,2722976979,假药商,
QQ,2980402273,假药商,
QQ,2762491168/3384396608,骗人说退坑出药,
QQ,3402103776/732513936/3587945035,出日雌，说40一支的骗子,
QQ,3457333465/192770696,假药商,
QQ,3463312502,假药商,
QQ,774091162,说退坑便宜出糖的骗子,
QQ,810060893,假药商,
QQ,990200068,弟弟是药娘进入药娘圈手上有便宜药商,
QQ,2568617000,假药商,
QQ,2574622898,(有群)买日雌法兽药,800
QQ,810060893/2093708294/2722976979 ,骗财骗色,5000以上
QQ,2242115247/2574622898,第一次发真药骗取信任，往后发假药,
QQ,群号：1023929796,骗子窝。买日雌发兽药,800+
QQ,2184003865,居然把猫猫头也骗了,5000
QQ,1764949971,假药商,
QQ,1992841063,假药商,
QQ,1119306249,假药商,
QQ,2910852703,因为隔离出药+骗人自慰视频,
QQ,1575186204,同CdKVTNK8tubw4cR，假药商还用黑切骗人,
QQ,2014383923,假药商,1300
QQ,2950341750,乞讨卖药不发货, 
QQ,985234996 / 2603145669 / 2330373751 / 810522742 / 2950341750,卖惨求同情要钱,2500+
QQ,2330373751,假药商,
QQ,3457333465 / 893664935 / 192770606,骗子药商,1000+
Telegram,@xinyuanabby,付款失联,5000
Telegram,@NHZG8,付款失联,500+500+4200
Telegram,@chinastore88668,,
Telegram,@HACKERONE02,付款失联；從此行開始的5行內均爲同一人,
Telegram,@Adrlan_012333,,
Telegram,@Domestic_R,,
Telegram,@chenshao_goi,,
Telegram,@Domestic_Ritalin,,
Telegram,@ritaIin6,付款失联,1200
Telegram,@dayaofang8,,
Twitter,taotaoziyo,骗猫猫头,5000
Twitter,CdKVTNK8tubw4cR,骗子药商假装退坑,1k+
Twitter,yunmengdd,著名骗子了,5000
Twitter,yingzitangguosh,骗子药商,
Twitter,ea88388,騙子藥商,1k+
Twitter,xioy19807922,骗子药商,400
Twitter,Terica78946021,,
Twitter,OZZwin6,付款失联,600
Twitter,mengtang521314,騙子藥商,
Twitter,yizhituanzi5236,假藥商，更換過一次ID,
Twitter,heibaimiaomiao / Sinon521314 / luluyaochitang / chenchenhaokeai,骗子药商,1000+
Twitter,Neoepass,付款失联,192
